Designator,Mid X,Mid Y,Rotation,Layer
J1,17.25,-9.5,0.0,bottom
J2,66.75,-40.45,180.0,bottom
J3,39.25,-9.5,0.0,bottom
J4,44.75,-40.45,180.0,bottom
